name,singer
OMG,NewJeans (뉴진스)
理想之途,时代少年团
早安隆回,袁树雄
不熄的光,张杰
一试有成,周深
倒数,G.E.M. 邓紫棋
化作烟火为你坠落,袁小葳
爱江山更爱美人 (Live),王俊凯
就让这大雨全都落下,容祖儿
早安隆回 (女版),陈歌
卜卦,崔子格
化风行万里,大欢
玫瑰急救箱,苏有朋
去见想见的人,Joysaaaa
老街,李荣浩
像阳光那样,王一博
难渡,邓寓君(等什么君)
孤勇者,陈奕迅
Kaitlyn,PinkWave 粉浪
失忆,虞书欣
